filename,width,height,class,xmin,ymin,xmax,ymax
as_007.jpg,209,241,asian_female,72,12,154,141
as_008.jpg,218,231,asian_female,54,9,128,113
as_010.jpg,294,171,asian_female,90,1,210,116
as_011.jpg,225,225,asian_female,143,30,198,96
as_012.jpg,300,168,asian_female,118,1,238,157
as_013.jpg,259,194,asian_female,29,10,113,95
as_014.jpg,234,215,asian_female,72,23,158,125
as_017.jpg,225,225,asian_female,75,75,144,161
as_018.jpg,194,259,asian_female,75,38,139,105
as_020.jpg,275,183,asian_female,68,5,185,151
as_022.jpg,224,224,asian_female,26,1,174,135
as_025.jpg,225,225,asian_female,18,68,86,138
as_026.jpg,275,183,asian_female,64,9,166,112
as_027.jpg,212,238,asian_female,136,11,188,100
as_028.jpg,183,275,asian_female,66,48,127,125
as_029.jpg,225,225,asian_female,43,1,194,167
as_030.jpg,183,276,asian_female,29,40,142,162
as_032.jpg,275,183,asian_female,83,1,213,158
as_033.jpg,290,174,asian_female,80,12,182,100
as_034.jpg,279,181,asian_female,63,1,216,164
as_036.jpg,276,183,asian_female,98,18,186,108
as_037.jpg,225,225,asian_female,116,63,164,130
as_039.jpg,300,168,asian_female,121,1,245,148
as_043.jpg,183,275,asian_female,43,21,151,135
as_044.jpg,225,225,asian_female,68,2,208,175
as_045.jpg,276,183,asian_female,96,27,175,103
as_046.jpg,201,251,asian_female,45,37,162,155
as_047.jpg,192,262,asian_female,59,47,126,116
as_049.jpg,183,275,asian_female,34,29,158,183
as_050.jpg,275,183,asian_female,77,18,198,142
as_051.jpg,274,184,asian_female,66,1,221,162
as_052.jpg,318,159,asian_female,51,17,135,112
as_053.jpg,202,249,asian_female,45,17,176,167
as_054.jpg,226,223,asian_female,59,18,199,180
as_056.jpg,197,256,asian_female,23,4,114,88
as_057.jpg,183,276,asian_female,29,39,154,153
as_059.jpg,205,246,asian_female,58,24,157,136
as_060.jpg,216,233,asian_female,62,1,208,166
as_061.jpg,275,183,asian_female,87,1,162,125
as_064.jpg,178,284,asian_female,63,62,101,111
as_065.jpg,183,275,asian_female,36,15,151,146
as_066.jpg,229,220,asian_female,49,43,148,126
as_067.jpg,310,162,asian_female,138,1,245,124
as_068.jpg,183,275,asian_female,21,16,92,99
as_069.jpg,178,283,asian_female,43,10,145,121
as_070.jpg,238,212,asian_female,45,4,133,121
as_071.jpg,225,225,asian_female,86,1,218,167
as_076.jpg,272,185,asian_female,46,28,145,124
as_080.jpg,275,183,asian_female,90,35,172,143
as_081.jpg,299,168,asian_female,171,1,283,155
as_085.jpg,183,275,asian_female,37,19,126,160
